C00403477|02222013|261|21|6126
C00540641|03212013|2500|1|2500
C00002469|03262013|200|11|3400
C00383232|02202013|473|1|473
C00488940|02212013|17314|2|34628
C00332841|10012013|300|1|300
C00110478|02182013|5000|1|5000
C00496307|11272013|500|1|500
C00473751|03282013|1000|2|2000
C00287904|07052013|2600|2|5200
C00445080|11042013|1000|1|1000
C00540765|03012013|250|1|250
C00330894|03112013|2600|1|2600
C00285171|11032013|500|1|500
C00083428|12312013|1000|1|1000
C00359034|12112013|1750|2|3500
C00326629|04232013|250|1|250
C00310318|10152013|2500|1|2500
C00155366|04182013|237|1|237
C00333534|11042013|5000|1|5000
C00012328|01302013|675|4|2500
C00469205|02132013|5000|1|5000
C00280222|01292013|800|1|800
C00245548|01082013|400|1|400
C00460600|02132013|229|1|229
C00513549|11302013|416|3|1232
C00484667|02142013|1000|1|1000
C00529701|03052013|229|1|229
C00389916|01142013|350|1|350
C00172635|10172013|5000|5|25000
C00004606|12182013|228|1|228
C00264689|01152013|304|1|304
C00342766|01312013|384|5|1690
C00510446|01302013|553|1|553
C00117861|12122013|302|9|2868
C00472001|02202013|-100|1|-100
C00513259|01172013|172|1|172
C00270934|03052013|1500|1|1500
C00164145|01032013|500|1|500
C00247403|10212013|250|1|250
C00139659|11182013|250|3|800
C00142596|10202013|208|5|1040
C00437947|01242013|1000|1|1000
C00478149|04302013|320|6|2000
C00146605|04082013|232|9|2382
C00194126|01082013|5000|1|5000
C00459453|12312013|272|4|1144
C00004275|01312013|416|3|1332
C00387753|01312013|500|1|500
C00207472|12312013|418|4|1609
C00207258|01312013|250|3|876
C00283135|10222013|250|3|865
C00078287|12132013|210|1|210
C00167759|12312013|320|9|4180
C00213066|11142013|2000|2|4000
C00001198|02222013|625|2|1250
C00538066|01042013|500|1|500
C00540427|04032013|2082|2|4164
C00539866|11262013|500|1|500
C00540385|02012013|300|1|300
C00401083|11262013|750|15|20804
C00001636|12202013|208|7|1456
C00035451|06302013|250|4|1240
C00418269|10312013|416|1|416
C00206672|04242013|200|1|200
C00064766|10262013|208|5|1042
C00008268|10312013|213|2|425
C00338020|03042013|1000|2|2000
C00035675|12312013|302|2|604
C00150672|10252013|750|1|750
C00142299|10312013|400|3|900
C00316455|11172013|850|1|850
C00279331|03312013|569|2|1138
C00060103|02282013|208|1|208
C00035204|03262013|400|3|1200
C00076810|02282013|205|3|805
C00271007|02152013|203|1|203
C00131607|08092013|500|1|500
C00497362|01052013|250|1|250
C00104802|10312013|250|13|4022
C00507392|02282013|406|4|1342
C00077321|05312013|400|2|800
C00176727|12172013|384|3|1152
C00402321|11202013|5000|1|5000
C00473918|10302013|50000|1|50000
C00007542|09272013|300|4|1200
C00235572|10312013|5000|1|5000
C00455733|08312013|231|1|231
C00370015|03312013|600|1|600
C00001388|10252013|333|4|1282
C00213173|03312013|416|29|9738
C00136317|03312013|400|1|400
C00066472|02282013|208|1|208
C00261339|03012013|900|9|7125
C00048579|12142013|360|1|360
C00165159|10252013|2500|2|5000
C00491951|02072013|416|2|832
C00457697|03152013|200|3|816
C00024968|12082013|250|1|250
C00085506|12062013|270|1|270
C00121368|02282013|400|52|18064
C00211318|11192013|300|1|300
C00005785|02042013|400|1|400
C00254490|02212013|250|1|250
C00033134|12032013|375|2|750
C00367995|12312013|416|3|1123
C00410266|10252013|400|1|400
C00059733|02282013|208|1|208
C00147173|02282013|325|7|2523
C00326439|02252013|250|1|250
C00390633|01042013|400|1|400
C00432526|07032013|2000|1|2000
C00008227|01152013|300|1|300
C00403881|01252013|500|1|500
C00108613|10152013|250|1|250
C00278101|10292013|275|2|550
C00042622|01012013|250|1|250
C00467167|01262013|200|1|200
C00009936|11192013|264|1|264
C00088591|01182013|213|2|425
C00120030|01042013|5000|1|5000
C00170175|12302013|540|1|540
C00418103|10282013|1250|2|2500
C00035618|08072013|4325|2|8650
C00000885|04092013|250|29|7500
C00141812|01142013|450|1|450
C00375360|01272013|500|1|500
C00355719|01252013|363|1|363
C00034470|01152013|333|4|1225
C00277541|08012013|350|1|350
C00446625|03212013|2500|1|2500
C00018036|05292013|245|1|245
C00097485|01182013|250|1|250
C00024752|01182013|325|2|650
C00068692|12312013|416|11|4144
C00415166|10312013|416|1|416
C00526269|02152013|25000|1|25000
C00296822|11302013|416|1|416
C00236489|01222013|5000|1|5000
C00191247|01282013|1250|4|5000
C00012880|09262013|500|1|500
C00370007|01162013|250|1|250
C00104901|10232013|551|32|22579
C00371948|01312013|408|2|816
C00384701|01302013|1500|1|1500
C00380402|01312013|306|14|4599
C00481176|03112013|1000|1|1000
C00151340|03312013|250|80|33397
C00219444|01032013|500|3|1750
C00040279|01292013|201|1|201
C00271338|01072013|5000|1|5000
C00100107|12092013|250|1|250
C00032698|01252013|500|9|5700
C00010470|01082013|300|1|300
C00344663|11302013|416|1|416
C00004994|08232013|300|7|1950
C00484584|10212013|208|1|208
C00035535|01152013|250|1|250
C00158402|10212013|200|1|200
C00000984|01232013|2500|1|2500
C00326009|10112013|500|1|500
C00158881|10302013|-28|1|-28
C00051979|12312013|258|35|10152
C00412288|10102013|625|2|1250
C00435834|01042013|500|2|1000
C00522714|01142013|1000|1|1000
C00460550|10092013|500|1|500
C00541698|03042013|2325|1|2325
C00326264|12052013|2600|1|2600
C00470997|01072013|250|1|250
C00501833|03082013|1500|1|1500
C00420745|02262013|375|2|750
C00376749|02202013|2500|1|2500
C00427708|01302013|500|1|500
C00496034|01022013|500|1|500
C00153031|01102013|45|1|45
C00504043|04092013|500|2|1000
C00493049|03202013|2500|1|2500
C00508127|12312013|250|1|250
C00492454|03222013|250|1|250
C00392670|09302013|2600|1|2600
C00477661|06102013|500|2|1000
C00327023|11192013|300|1|300
C00444224|03222013|1000|1|1000
C00540260|03082013|750|2|1500
C00310136|08172013|1000|2|2000
C00260604|01172013|1000|1|1000
C00051227|03092013|250|1|250
C00512368|03262013|2500|1|2500
C00255950|12312013|416|1|416
C00427781|08122013|200|1|200
C00112896|01312013|416|6|2474
C00355677|11052013|5000|1|5000
C00089342|11302013|416|3|1248
C00033969|10312013|230|1|230
C00227546|01312013|204|2|408
C00252551|05062013|-400|1|-400
C00004879|04102013|1500|1|1500
C00481309|02212013|250|1|250
C00306894|11252013|1000|11|13900
C00166710|01292013|1000|1|1000
C00251876|12192013|300|1|300
C00179408|10292013|250|4|1250
C00420174|01182013|9200|2|18400
C00436899|10312013|200|1|200
C00093054|11072013|500|1|500
C00067231|10312013|375|2|750
C00136853|11012013|500|1|500
C00330019|06152013|200|1|200
C00340554|05152013|500|1|500
C00399196|10112013|2000|1|2000
C00219642|12312013|500|3|4799
C00450692|12062013|10|1|10
C00405233|01292013|500|1|500
C00107300|01312013|310|23|7017
C00492124|01252013|305|1|305
C00500025|06302013|1084|2|2167
C00274944|02192013|500|1|500
C00010439|10112013|625|2|1250
C00420695|10242013|2500|1|2500
C00279802|11212013|325|1|325
C00436022|10312013|500|2|1000
C00001917|11122013|200|1|200
C00255695|08152013|250|1|250
C00107235|02282013|1000|1|1000
C00445874|10312013|416|1|416
C00000901|03112013|625|1|625
C00046086|04022013|2500|2|5000
C00032995|10292013|500|3|1250
C00384818|12122013|250|5|2450
C00117838|03212013|1500|1|1500
C00114132|12042013|250|1|250
C00431312|02112013|500|2|1000
C00305805|02012013|204|1|204
C00139451|02282013|371|4|1357
C00022343|02042013|625|2|1250
C00105338|02282013|415|3|1015
C00349746|02152013|319|13|3979
C00339291|05312013|5000|1|5000
C00375048|10092013|250|1|250
C00353953|05202013|500|1|500
C00367920|05232013|500|1|500
C00165589|11062013|500|5|3400
C00211524|11122013|200|1|200
C00197749|04252013|300|2|600
C00010033|07092013|1000|1|1000
C00118943|12312013|334|3|984
C00019653|02282013|251|13|3725
C00381012|12122013|500|1|500
C00342394|02202013|5000|1|5000
C00306449|01312013|1000|1|1000
C00345306|01242013|250|1|250
C00011114|03012013|240|1|240
C00023838|03292013|500|2|1000
C00035600|10092013|750|1|750
C00007880|01282013|9|1|9
C00540187|06242013|250|3|775
C00413070|05132013|1500|1|1500
